Feb 23 09:58:07 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:07,692 | INFO     | uvicorn.error | Application startup complete.
Feb 23 09:58:07 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:07,692 | INFO     | uvicorn.error | Application startup complete.
Feb 23 09:58:07 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:07,845 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 09:58:07 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:07,846 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 09:58:07 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:07,849 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 09:58:07 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:07,895 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 09:58:07 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:07,896 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 09:58:07 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:07,899 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 09:58:10 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:10,308 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 09:58:10 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:10,308 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 09:58:10 kis-autotrade-v4 go100[2415207]: 2026-02-23 09:58:10,311 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 09:58:10 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:10,381 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 09:58:10 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:10,382 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 09:58:10 kis-autotrade-v4 go100[2415208]: 2026-02-23 09:58:10,385 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:01:14 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:01:14,116 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:01:14 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:01:14,117 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:01:14 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:01:14,121 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:01:14 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:01:14,163 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:01:14 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:01:14,164 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:01:14 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:01:14,166 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:01:16 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:01:16,668 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:01:16 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:01:16,669 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:01:16 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:01:16,672 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:01:16 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:01:16,689 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:01:16 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:01:16,690 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:01:16 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:01:16,692 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:04:20 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:04:20,508 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:04:20 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:04:20,509 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:04:20 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:04:20,512 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:04:20 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:04:20,551 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:04:20 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:04:20,552 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:04:20 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:04:20,555 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:04:22 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:04:22,934 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:04:22 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:04:22,935 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:04:22 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:04:22,938 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:04:23 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:04:23,013 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:04:23 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:04:23,014 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:04:23 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:04:23,017 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:07:26 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:07:26,686 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:07:26 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:07:26,687 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:07:26 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:07:26,690 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
