Feb 23 10:13:42 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:13:42,207 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:13:42 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:13:42,208 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:13:42 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:13:42,211 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:13:43 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:13:43,047 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160711&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:13:43 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:13:43,048 | WARNING  | account_sync | Balance API config_id=3: 500
Feb 23 10:13:43 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:13:43,051 | WARNING  | account_sync_scheduler | account_sync config_id=3 error: KIS balance API failed or empty
Feb 23 10:16:46 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:16:46,018 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:16:46 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:16:46,019 | WARNING  | account_sync | Balance API config_id=1: 500
Feb 23 10:16:46 kis-autotrade-v4 go100[2415208]: 2026-02-23 10:16:46,022 | WARNING  | account_sync_scheduler | account_sync config_id=1 error: KIS balance API failed or empty
Feb 23 10:16:46 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:16:46,763 | INFO     | httpx | HTTP Request: GET https://openapivts.koreainvestment.com:29443/uapi/domestic-stock/v1/trading/inquire-balance?CANO=50160697&ACNT_PRDT_CD=01&AFHR_FLPR_YN=N&OFL_YN=&INQR_DVSN=02&UNPR_DVSN=01&FUND_STTL_ICLD_YN=N&FNCG_AMT_AUTO_RDPT_YN=N&PRCS_DVSN=01&CTX_AREA_FK100=&CTX_AREA_NK100= "HTTP/1.1 500 Internal Server Error"
Feb 23 10:16:46 kis-autotrade-v4 go100[2415207]: 2026-02-23 10:16:46,764 | WARNING  | account_sync | Balance API config_id=1: 500
